Network: Ekiti road adjacency, 16 towns, eps=0.3, rho=0.15, 10yr horizon (fine scan)
  n_steps=10950, dt=0.01667, burn_in_steps=521
Deriving data-driven threshold grid from a diagnostic off run ...
  iota_hat thresholds (p[1, 20, 40, 55, 70, 85, 99]): [0.19124 0.27788 0.29136 0.30078 0.3104  0.3211  0.34474]
  phi thresholds (p[1, 20, 40, 55, 70, 85, 99]): [0.20911 0.2877  0.29635 0.30647 0.31725 0.32507 0.3305 ]

Sweeping trigger grid, driver=iota_hat ...
    driver=iota_hat T=0.3211 S=0.20 effort=0.0115 active_frac=0.0574 symp_trig=12606625 cases_averted=321868 cases_averted_const=315040 rate_trig=0.01714 rate_const=0.00096 episodes=343.8  (86.4s)
    driver=iota_hat T=0.3211 S=0.15 effort=0.0099 active_frac=0.0657 symp_trig=12654383 cases_averted=274110 cases_averted_const=269801 rate_trig=0.01274 rate_const=0.00082 episodes=379.3  (86.2s)
    driver=iota_hat T=0.3211 S=0.10 effort=0.0079 active_frac=0.0791 symp_trig=12711059 cases_averted=217434 cases_averted_const=215951 rate_trig=0.00840 rate_const=0.00066 episodes=422.1  (86.1s)
    driver=iota_hat T=0.34474 S=0.50 effort=0.0020 active_frac=0.0040 symp_trig=12866367 cases_averted=62126 cases_averted_const=53449 rate_trig=0.04787 rate_const=0.00016 episodes=52.2  (86.0s)
    driver=iota_hat T=0.34474 S=0.30 effort=0.0013 active_frac=0.0044 symp_trig=12887661 cases_averted=40832 cases_averted_const=35430 rate_trig=0.02850 rate_const=0.00011 episodes=57.4  (85.8s)
    driver=iota_hat T=0.34474 S=0.20 effort=0.0009 active_frac=0.0047 symp_trig=12899981 cases_averted=28512 cases_averted_const=25069 rate_trig=0.01869 rate_const=0.00008 episodes=59.9  (85.9s)
    driver=iota_hat T=0.34474 S=0.15 effort=0.0007 active_frac=0.0049 symp_trig=12905709 cases_averted=22784 cases_averted_const=19180 rate_trig=0.01408 rate_const=0.00006 episodes=62.4  (85.8s)
    driver=iota_hat T=0.34474 S=0.10 effort=0.0005 active_frac=0.0052 symp_trig=12912906 cases_averted=15587 cases_averted_const=13705 rate_trig=0.00918 rate_const=0.00004 episodes=66.2  (86.0s)
  driver=iota_hat total: 3102.8s

Sweeping trigger grid, driver=phi ...
    driver=phi T=0.20911 S=0.50 effort=0.1323 active_frac=0.2646 symp_trig=8609600 cases_averted=4318893 cases_averted_const=4100949 rate_trig=0.04988 rate_const=0.01253 episodes=711.0  (93.4s)
    driver=phi T=0.20911 S=0.30 effort=0.1288 active_frac=0.4294 symp_trig=8861756 cases_averted=4066737 cases_averted_const=3979437 rate_trig=0.02894 rate_const=0.01216 episodes=869.5  (92.9s)
    driver=phi T=0.20911 S=0.20 effort=0.1275 active_frac=0.6375 symp_trig=8964912 cases_averted=3963581 cases_averted_const=3932614 rate_trig=0.01900 rate_const=0.01202 episodes=888.2  (92.7s)
    driver=phi T=0.20911 S=0.15 effort=0.1205 active_frac=0.8031 symp_trig=9274066 cases_averted=3654427 cases_averted_const=3689220 rate_trig=0.01391 rate_const=0.01127 episodes=463.5  (92.0s)
    driver=phi T=0.20911 S=0.10 effort=0.0988 active_frac=0.9875 symp_trig=10051291 cases_averted=2877202 cases_averted_const=2958430 rate_trig=0.00890 rate_const=0.00904 episodes=13.3  (90.7s)
    driver=phi T=0.2877 S=0.50 effort=0.0488 active_frac=0.0977 symp_trig=11454221 cases_averted=1474272 cases_averted_const=1391619 rate_trig=0.04613 rate_const=0.00425 episodes=369.6  (87.6s)
